nr,timestamp
start,2022-10-08T13:14:07+02:00
1,2022-10-08T13:16:48+02:00
2,2022-10-08T13:18:20+02:00
3,2022-10-08T13:19:21+02:00
4,2022-10-08T13:19:40+02:00
5,2022-10-08T13:20:25+02:00
6,2022-10-08T13:22:14+02:00
7,2022-10-08T13:24:25+02:00
8,2022-10-08T13:25:49+02:00
9,2022-10-08T13:27:13+02:00
10,2022-10-08T13:28:43+02:00
11,2022-10-08T13:30:03+02:00
12,2022-10-08T13:31:16+02:00
13,2022-10-08T13:31:47+02:00
14,2022-10-08T13:33:04+02:00
15,2022-10-08T13:37:01+02:00
16,2022-10-08T13:39:32+02:00
17,2022-10-08T13:47:01+02:00
18,2022-10-08T13:51:38+02:00
19,2022-10-08T13:55:09+02:00
20,2022-10-08T14:00:08+02:00
21,2022-10-08T14:02:36+02:00
22,2022-10-08T14:04:37+02:00
23,2022-10-08T14:05:48+02:00
24,2022-10-08T14:08:58+02:00
25,2022-10-08T14:11:07+02:00
26,2022-10-08T14:18:00+02:00
27,2022-10-08T14:23:36+02:00
28,2022-10-08T14:32:45+02:00
29,2022-10-08T14:35:34+02:00
30,2022-10-08T14:37:53+02:00
31,2022-10-08T14:39:37+02:00
32,2022-10-08T14:43:25+02:00
33,2022-10-08T14:44:29+02:00
finish,2022-10-08T14:45:33+02:00
